Ref,ProgAbbrName,SEX,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,GRADUATED
STU5121,B.Sc. Comp. Sc. Ed.,0,2,2,2,1.5,4,2,1.5,2,2,0
STU5122,B.Sc. Agron.,1,3,3,3,3,4,3,3,3,3,1
STU5123,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,3,3,3,3,1
STU5124,BACHELOR OF SCIENCE,1,2,2,2,1.5,3,4,2,1.5,2,0
STU5125,B.Ed. Primary (IDE),0,3,3,2,3,3,4,3,3,3,1
STU5126,B.Sc. IT,1,3,0,0,0,0,4,3,2,2,0
STU5127,B.Ed. Secondary - IDE,0,2,2,2,1,3,2,3,3,4,0
STU5128,B.NSc. (N/P),1,3,4,3,3,3,0,3,2,1.5,0
STU5129,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,2,3,3,3,1
STU5130,B.Sc. Cons. Sci.,0,3,2,2,2,3,3,4,3,3,1
STU5131,B.Sc. Cons. Sci.,0,3,3,2,2,2,3,4,3,3,1
STU5132,B.Ed. Secondary - IDE,0,2,2,3,1.5,2,2,2,3,3,0
STU5133,B.Sc. Cons. Sci. Ed.,0,3,3,3,2,3,3,3,3,2,1
STU5134,BACHELOR OF SCIENCE,1,2,1,2,2,3,2,2,2,2,0
STU5135,B.Ed. Secondary (Commerce - IDE),1,3,3,3,3,3,3,2,2,3,1
STU5136,BACHELOR OF ARTS IN HUMANITIES,1,2,2,3,2,2,2,2,3,2,0
STU5137,B.Sc. IT,1,2,2,1,2,3,2,2,2,2,0
STU5138,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,3,2,2,3,4,2,3,3,1
STU5139,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,2,3,3,4,4,3,2,2,0
STU5140,B.Sc. Agron.,1,3,3,3,3,4,3,3,2,3,1
STU5141,B.Ed. Secondary (Business Education),0,3,2,3,3,3,4,4,4,4,1
STU5142,BACHELOR OF SCIENCE,0,2,3,3,3,4,4,2,1.5,1,0
STU5143,B.Sc. EMWR,1,3,2,2,2,4,3,2,2,3,0
STU5144,B.Sc. ABE,0,4,4,4,3,4,4,4,4,4,1
STU5145,B.Sc. Agric. Econ. and AgBMgt.,0,3,2,3,3,3,3,4,2,3,1
STU5146,B.Comm. (New Programme),1,0,2,1.5,1.5,2,3,3,0,0,0
STU5147,B.NSc. (N/P),0,3,4,3,3,4,4,3,3,4,1
STU5148,B.Ed. Secondary (Science),0,3,3,2,1,3,4,2,3,2,0
STU5149,B.Comm. (New Programme),0,3,2,3,3,3,4,3,3,2,1
STU5150,B.Sc. Ani. Sci. (Dairy Option),1,3,2,2,2,3,2,4,2,3,1
STU5151,B.Sc. Ani. Sci.,1,3,3,3,2,3,3,3,2,3,1
STU5152,B.Sc. Agric. Ed.,1,4,4,4,3,4,3,5,3,4,1
STU5153,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,3,3,3,4,4,2,3,1
STU5154,BACHELOR OF SCIENCE,0,3,2,3,3,4,4,3,3,4,1
STU5155,BACHELOR OF SOCIAL WORK,0,3,3,4,3,3,3,4,3,3,1
STU5156,BACHELOR OF ARTS IN HUMANITIES,1,3,2,3,3,2,2,2,3,3,1
STU5157,B.Sc. Comp. Sc. Ed.,1,3,2,2,2,4,3,3,3,3,1
STU5158,B.Sc. EMWR,0,2,1.5,1.5,2,3,2,1.5,1.5,3,0
STU5159,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,2,2,2,2,3,3,0
STU5160,B.Sc. IT,1,2,2,2,2,3,3,2,2,3,0
STU5161,B.Sc. IT,1,2,1.5,2,2,3,2,3,1,1.5,0
STU5162,B.Sc. Cons. Sci.,1,3,3,2,2,3,3,5,3,3,1
STU5163,B.Sc. Cons. Sci.,0,2,1.5,2,2,2,2,4,2,2,0
STU5164,B.Sc. Ani. Sci. (Dairy Option),0,2,1.5,3,2,2,1,3,1,1.5,0
STU5165,B.Sc. FSNT,1,3,3,3,2,2,2,4,2,2,0
STU5166,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,4,3,3,3,4,2,3,1
STU5167,B.Ed. Secondary (Science),1,3,2,2,2,3,3,2,3,3,0
STU5168,B.Sc. Agric. Econ. and AgBMgt.,0,3,2,3,3,3,3,4,2,3,1
STU5169,B.Ed. Secondary (Commerce - IDE),0,3,2,3,2,3,3,3,3,2,1
STU5170,B.Ed. Secondary - IDE,0,2,1.5,1.5,2,2,2,3,2,3,0
STU5171,BACHELOR OF SCIENCE,0,2,2,2,1.5,3,3,1,0,0,0
STU5172,B.Sc. EHS (N/P),1,3,2,3,2,3,3,3,2,2,1
STU5173,B.Ed. Secondary (Business Education),1,3,2,2,2,2,3,2,2,3,0
STU5174,B.Ed. Secondary (Science),0,3,1.5,1.5,3,4,3,3,2,3,0
STU5175,B.Comm. (New Programme),1,3,3,4,3,3,3,4,4,3,1
STU5176,BACHELOR OF ARTS IN HUMANITIES,0,0,0,0,0,0,0,0,0,0,0
STU5176,B.A. Humanities (IDE),0,2,2,2,2,2,2,2,2,2,0
STU5177,B.Ed. Secondary - IDE,0,3,3,3,2,3,3,3,3,4,1
STU5178,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,2,2,2,1.5,3,3,2,1.5,1.5,0
STU5179,BACHELOR OF ARTS IN HUMANITIES,1,2,2,2,1.5,2,3,2,2,3,0
STU5180,BACHELOR OF SCIENCE,1,3,3,3,2,4,3,2,2,2,0
STU5181,B.Sc. EMWR,1,2,2,1.5,2,3,1.5,1,1,2,0
STU5182,B.Sc. Agron.,1,3,3,3,3,3,3,5,3,3,1
STU5183,B.Sc. Agricultural Extension,1,3,3,2,1.5,2,2,4,2,2,0
STU5184,BACHELOR OF ARTS IN HUMANITIES,0,3,3,2,3,2,3,3,3,4,1
STU5185,B.Sc. Ani. Sci.,0,3,3,3,2,3,3,4,4,3,1
STU5186,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,3,3,4,2,3,4,3,3,3,1
STU5187,B.Sc. Ani. Sci.,1,2,2,2,2,3,2,3,2,3,0
STU5188,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,3,3,4,3,4,3,4,1
STU5189,B.Ed. Secondary - IDE,1,2,2,1.5,1.5,3,2,2,2,2,0
STU5190,B.Ed. Secondary (Business Education),1,3,2,2,2,3,3,3,3,3,1
STU5191,B.Sc. Cons. Sci. Ed.,0,0,2,1.5,1.5,3,2,4,0,0,0
STU5192,B.Sc. EHFS,0,3,2,2,1.5,4,4,4,3,3,1
STU5193,B.Sc. EHFS,0,3,0,0,0,0,4,3,3,4,1
STU5194,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,1.5,3,3,4,3,3,3,3,1
STU5195,B.Sc. ABE,1,3,4,3,2,3,3,3,0,3,0
STU5196,B.Sc. EMOSH,0,2,2,2,2,3,2,2,2,3,0
STU5197,B.Sc. Agricultural Extension,0,3,3,3,2,3,3,4,4,3,1
STU5198,BACHELOR OF SCIENCE,0,3,2,2,2,3,3,3,3,3,0
STU5199,B.Sc. FSNT,0,3,3,3,3,3,3,4,3,4,1
STU5200,B.Comm. (New Programme),0,0,3,1.5,1.5,3,3,3,0,0,0
STU5201,B.Sc. Cons. Sci. Ed.,0,3,4,3,3,4,4,4,3,3,1
STU5202,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,2,2,2,1.5,2,3,2,2,2,0
STU5203,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,1,0,2,0,0,0,0,0,0,0
STU5204,B.Sc. Agric. Ed.,1,3,0,0,2,3,3,4,2,3,1
STU5205,B.Sc. Agric. Econ. and AgBMgt.,0,3,2,2,2,3,3,4,3,3,1
STU5206,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,1.5,2,2,1.5,0,2,0
STU5207,BACHELOR OF SCIENCE,1,3,3,3,3,4,3,2,3,3,0
STU5208,B.Sc. EHFS,0,3,2,1.5,2,3,3,3,3,3,1
STU5209,B.Sc. Comp. Sc. Ed.,0,2,1.5,1.5,2,3,2,2,2,3,0
STU5210,B.Comm. (New Programme),0,3,2,3,2,3,4,3,3,3,1
STU5211,BACHELOR OF ARTS IN HUMANITIES,1,3,3,4,3,3,3,3,3,3,1
STU5212,BACHELOR OF SOCIAL WORK,0,3,2,3,3,3,3,3,3,3,1
STU5213,B.Sc. Agric. Econ. and AgBMgt.,1,3,2,2,2,3,2,3,2,2,0
STU5214,B.Sc. IT,1,1.5,2,1,2,3,2,2,0,0,0
STU5215,BACHELOR OF ARTS IN HUMANITIES,0,3,2,2,2,2,2,2,3,3,1
STU5216,B.Sc. Ani. Sci.,0,2,2,2,2,2,2,4,2,3,0
STU5217,B.Sc. EHS (N/P),1,2,3,1.5,2,2,3,2,2,2,0
STU5218,B.Ed. Secondary (Business Education),0,3,2,2,2,3,2,3,2,3,0
STU5219,B.Sc. EHFS,1,3,2,2,2,3,3,4,3,3,1
STU5220,B.Ed. Secondary (Business Education),0,2,2,2,1,3,3,2,2,3,0
STU5221,BACHELOR OF SCIENCE,0,4,4,4,4,5,4,4,4,3,1
STU5222,B.Sc. Cons. Sci. Ed.,1,2,2,1.5,2,2,3,3,1,0,0
STU5223,B.Sc. Agron.,1,3,3,3,2,3,3,4,2,3,1
STU5224,B.Ed. Secondary (Humanities),0,3,2,2,2,3,3,3,3,3,1
STU5225,B.Sc. Agricultural Extension,1,3,3,3,2,3,3,4,3,3,0
STU5226,BACHELOR OF SOCIAL WORK,1,3,2,3,2,3,3,3,3,3,1
STU5227,B.Ed. Secondary - IDE,0,3,2,2,2,3,3,3,2,3,1
STU5228,B.Ed. Secondary (Commerce - IDE),0,3,3,3,3,3,3,3,3,2,1
STU5229,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,3,3,3,3,3,2,3,3,1
STU5230,B.Comm. (New Programme),1,3,3,3,2,4,4,3,2,2,0
STU5231,B.NSc. (N/P),0,3,2,2,2,3,3,3,2,3,1
STU5232,B.Sc. FSNT,0,3,3,3,3,3,3,4,3,3,1
STU5233,BACHELOR OF ARTS IN HUMANITIES,1,3,3,3,2,2,2,3,3,3,1
